modeling_row_id,semantic_group_id,priority,priority_encoded
897,92c708b9ebbccf353f22c1e3951000f0e2d5ae1b,high,2
1287,772befff6c00e54a361736132c9ff2eb7b09579a,high,2
1584,d5ba2648930b9594f01559429f34ce16707dfd7b,high,2
2130,5e820b172b374036ac1e63030208cfef7a85d93d,high,2
2210,c6c655f0af6e9cee58ae63b6b7828069d2aeb3fb,high,2
3021,007e7a7e3baf87923d44035342f10d7e9f0101ce,high,2
3430,b0db519a5696e31db206496a78b6789f360839ab,high,2
4715,393d3b6c66b97d0d247304537993f3ba7dbb0c71,high,2
5286,a8dee2351f813b1c24e370594f7441c153de3ee8,high,2
6041,9a0de69fe057adf4ba72409ab41b240958770989,high,2
7093,daafceb98aabca098d0e9d687b5793fbb6155259,high,2
8303,d57eec7d56d62288384450c7210b423745262a90,high,2
9973,e4df5950aab34c0ca3efed5c8509d91553babb22,high,2
10872,56a076a9a528ea22ea383b1f149ce3f05fa3ff11,high,2
11095,b6c86bf692b1afe4d2eed67b8cfbc16f52397dfb,high,2
12641,76c18f0e6f3e2a3cc74f9affe641d6bcf904319f,high,2
17058,6e0ca19dd2a6404221b121f91d9e0c93e0ca28ba,high,2
17375,eb57471dc3c56c03b8ea44c30981305a5670cdf6,high,2
17814,fc5cce8800169d27ce2b0f0f3f41115ad9bc92ce,high,2
18151,4e4b4baf56618180c52618d2add4fcac244c7eaa,high,2
20097,974b28ba422d02d59f6e92f2cac7cca87e2fa3db,high,2
20997,8d377f1c548624760463b804089a163d79f168ea,high,2
21426,bb25da76beead27c412bd7be018a1ea59a5e3320,high,2
21710,6d82a4c424c1391074e8ffc88d787d5c3b6342c6,high,2
21816,9f48bf8f50d852bc85a771f001af3cbb32f1a8dd,high,2
21898,a5d5d1126dbb3c99b502b9bb932cb05a603e0938,high,2
25709,4bd7e087e2194f2e892a2c825b860f444dc71fdc,high,2
26110,2f24fb287c95816deb9a34e3599560b234d3351e,high,2
26722,06f9d1cac1ef1318c0b849043b8f38511ecd9803,high,2
27996,3be5511f1279a164c5caadd7a5e283f9a9ead83f,high,2
1600,d9b029d5d8e191c2e665b9952b067b20a1ffa341,low,0
1654,289ab609efc37b3ab97840a09c0df1a1e5992203,low,0
1911,6edb5a8290d659636960e52256f0b1da11700973,low,0
2152,a9d1bfb6f61acf182a0b4a99b2199adf5aecce27,low,0
4279,0ee4ad0f3e5115a9d6566e91324c348acd2383f5,low,0
4479,cdfadbf463bd97dba90ecfa7b653d78a23dc47d4,low,0
5588,2e265105b64ea0e7314035e240a28800d1ec9c16,low,0
10060,489dae1c1575221339f730e5ae7d221a8350389b,low,0
11092,e48fc28de9fb1c0dc465dba2faa22f9b2a9930b2,low,0
11301,71011df1b398aeb454a1236cb89174b6a5d39b9e,low,0
12998,9aee4af152ae726c13c512688971129cbf8541d9,low,0
15556,eb1654070e6c89d28c3d1a4d9cf21dcd6929be41,low,0
17166,d4617a0c82f35d828a3c83b434cd3b5b642f6b4c,low,0
17348,914253417fefac5563fb615199e07b744d57f319,low,0
18442,ab5d44c4c88d69f42a2293c4f6b14b738add3811,low,0
19073,151634ade3a164d26c5239d614d1f06e5cdc4ced,low,0
19314,524963512d7f2a1374758e1acafd7578d19d7573,low,0
20676,33327280e49aadad357630b9088b0aec8a88c57a,low,0
21019,ffdabeb8a1afd8d39c2a2c5228ecd30236bfe82a,low,0
