source_row_id,declared_language,detected_language,language_confidence,manual_language,final_language,language_label_corrected,final_non_target_language,language_decision_source,language_scope_status
33,de,en,0.9999968100520855,,en,True,False,automatic_detection,de_en_label_mismatch_retained
69,de,en,0.9999965184050583,,en,True,False,automatic_detection,de_en_label_mismatch_retained
83,de,en,0.999997228639945,,en,True,False,automatic_detection,de_en_label_mismatch_retained
87,de,en,0.9999980543210278,,en,True,False,automatic_detection,de_en_label_mismatch_retained
97,de,en,0.9999970526960215,,en,True,False,automatic_detection,de_en_label_mismatch_retained
104,de,en,0.9999958925607249,,en,True,False,automatic_detection,de_en_label_mismatch_retained
108,de,en,0.9999976329551864,,en,True,False,automatic_detection,de_en_label_mismatch_retained
145,de,en,0.9999968453929434,,en,True,False,automatic_detection,de_en_label_mismatch_retained
161,de,en,0.999997346523618,,en,True,False,automatic_detection,de_en_label_mismatch_retained
169,de,en,0.9999981667122873,,en,True,False,automatic_detection,de_en_label_mismatch_retained
183,de,en,0.9999953051088749,,en,True,False,automatic_detection,de_en_label_mismatch_retained
197,de,en,0.9999955276685618,,en,True,False,automatic_detection,de_en_label_mismatch_retained
217,de,en,0.999998003707345,,en,True,False,automatic_detection,de_en_label_mismatch_retained
219,de,en,0.9999982304893685,,en,True,False,automatic_detection,de_en_label_mismatch_retained
228,de,en,0.9999959377705623,,en,True,False,automatic_detection,de_en_label_mismatch_retained
237,de,en,0.9999944931085867,,en,True,False,automatic_detection,de_en_label_mismatch_retained
256,de,en,0.9999973410170511,,en,True,False,automatic_detection,de_en_label_mismatch_retained
257,de,en,0.9999958980407404,,en,True,False,automatic_detection,de_en_label_mismatch_retained
259,de,en,0.9999964865163914,,en,True,False,automatic_detection,de_en_label_mismatch_retained
279,de,en,0.999997049011224,,en,True,False,automatic_detection,de_en_label_mismatch_retained
289,de,en,0.9999960020443148,,en,True,False,automatic_detection,de_en_label_mismatch_retained
315,de,en,0.9999992003766911,,en,True,False,automatic_detection,de_en_label_mismatch_retained
319,de,en,0.9999971343694979,,en,True,False,automatic_detection,de_en_label_mismatch_retained
336,de,en,0.9999979117762217,,en,True,False,automatic_detection,de_en_label_mismatch_retained
338,de,en,0.9999959010510984,,en,True,False,automatic_detection,de_en_label_mismatch_retained
355,de,en,0.9999959012462734,,en,True,False,automatic_detection,de_en_label_mismatch_retained
369,de,en,0.9999964210792625,,en,True,False,automatic_detection,de_en_label_mismatch_retained
378,de,en,0.9999954664429244,,en,True,False,automatic_detection,de_en_label_mismatch_retained
380,de,en,0.999997391377603,,en,True,False,automatic_detection,de_en_label_mismatch_retained
385,de,en,0.9999960266717574,,en,True,False,automatic_detection,de_en_label_mismatch_retained
402,de,en,0.9999978713137726,,en,True,False,automatic_detection,de_en_label_mismatch_retained
428,de,en,0.9999966214852826,,en,True,False,automatic_detection,de_en_label_mismatch_retained
444,de,en,0.9999951350788974,,en,True,False,automatic_detection,de_en_label_mismatch_retained
446,de,en,0.9999964813298566,,en,True,False,automatic_detection,de_en_label_mismatch_retained
447,de,en,0.9999957726611339,,en,True,False,automatic_detection,de_en_label_mismatch_retained
451,de,en,0.9999978583369192,,en,True,False,automatic_detection,de_en_label_mismatch_retained
458,de,en,0.9999979841171422,,en,True,False,automatic_detection,de_en_label_mismatch_retained
459,de,en,0.999996113126869,,en,True,False,automatic_detection,de_en_label_mismatch_retained
469,de,en,0.9999960748221879,,en,True,False,automatic_detection,de_en_label_mismatch_retained
488,de,en,0.9999971655115659,,en,True,False,automatic_detection,de_en_label_mismatch_retained
