modeling_row_id,semantic_group_id,text_group_id,priority,screen_outer_fold,screen_cv_fold
7,d189fb1d6f35e31499da856873869eb81d6faac7,0db97ec61ddef7b684ab20a17a472b15e80e681e,medium,1,1
11,35856db759b5308c727cbec71a47bab4f45b7e2b,cf6ecba99ea7a924b4e9673e08847682440b921b,medium,0,0
15,b6ed40eb0ae13bac6e4971ed236c9e2ac59111ea,181c17889ffdff06453e504127bae1087f91072e,medium,1,1
21,5027080743129400ef27769abb4e8c007a21c6a9,0f56c5ea8893382b2f1732001be82f61459b1ee1,high,1,1
25,dba09faa0168b2d201e3f68dfbb507cb7e04026b,74026b55062634b0d4f099a437b9dec9bbd3789d,high,0,0
30,c2268e03a03f75088eb1878356a600368d12fa1e,714c74d9012b8f7fb27043da29fcf29557e8d28b,medium,0,0
36,bfe5302a6bc9da30c1b1ef73c96b12c54192eb5d,db0a2d973f24c14c3521f005de56e80a5cb9a7e3,high,0,0
43,3de68afffee6e6af5711e9953e00c175b1b19a5f,b541209c1f18531a265aa3f1a292ab4444e93379,high,1,1
45,b9d59226a2d2ccc1947d81f69fd72538e3858d27,abe411b4606f8b13c24abe954418bbd1b51d99ea,low,0,0
46,eb25235b1f19336c9c7a0c91a4dbbad8dd1d71d6,c201e091d9bdc59f121807c4c0baa40d1a302afb,high,0,0
48,17ba9b7fe7ca8edbe241339ac8b9674b0d922786,2a4673f10b8fe6a56af995fe648f7b056413b887,medium,0,0
49,b44963746b718f5a2196c5d3a2a7649566144d9e,8ab7afa328292856d9d971d913fdc3623ea7635d,medium,1,1
52,376ac691447b719fb88874161cf8b013ed443398,55c6b4f0da94b36d97c213d7a7459d1810769254,high,0,0
66,325d43063658af47212f2f197a16bf2195faf925,d31412af921cc19868da82424228440f6582cad4,high,0,0
67,d40f2f511851c5cf50c4eb2cbd1177caeff82451,ef8f510ce9df2bf548aa9bc25500f02833fdb7ad,medium,0,0
72,f7c86a2e65b27743204b95a0d54d1282a83b8c71,f90aae06cc072e8fa08b37ea2cfc3ee8af30a9aa,medium,0,0
75,630710723422ea521a4f8944c5837eee49f36bbb,a9a775781ff3675cd7b29d5ee311056155b3b236,medium,0,0
77,701b188d7479200827e2e1d2195ec32441810a57,5f47989922659a07d6eb05101e0c1561a1a69a07,high,0,0
79,f47a5bb32a33a0469255cfa285e6512b32d7ca84,f9e30f8e6802606aee75a012ac7e236976903993,high,0,0
80,aed726468f5b09e58f49a3594d68dcd76f374d43,62fc4af7121784ebf473eae3fa7da8f1d764e251,high,0,0
90,2461060e2bad05af1d83a04614aa553c43d8ea6c,2f73e56382380a657b5c7b6233b608065f886d9c,medium,1,1
93,72be62e454a896ae01319d2495b2ef9cb2d97d6d,039ffef079b11aa7da66945e3ca44806e425150b,medium,0,0
99,f3bac307c052886f186f2a52d8e7ea181a8bdccb,cfa3de76ff0e652fd1ec998b03e23b73aed50937,medium,0,0
106,ea7d13739ad6f6721153e200434a19c1421d5c39,c8a48d2d1f6f7601c4f7205c85ff0890da4f07f0,medium,1,1
107,61309273c1d5586331575113dffa997ce83bb602,664fbf5e0c719b94218464c4ad1b9777b84247bd,high,1,1
108,ba0ca0b528dec927c1c8042fd5e4ed1997a4de02,2047f4e04398e9b7878557181f5fd501b6e1d8fc,medium,0,0
109,3cf81838dfe1a71d803b1cef0b9b9f3a2733e37f,06df52a7850ee737aa1514dab7f910214dfd7c0e,low,0,0
110,9b046e3d38eba98234979aa8d1beb39fdab92ee0,6abb168c0c120f83ba042b5eae6945567df33b07,high,0,0
113,b7019389e0895770f20d8d5a2406616b1e1492a1,2963c125123a18c31a45966cd4220574da691297,low,1,1
114,369c0cf476596759656370d3d12dbb61e0c7d80f,16b53a1e74151984e039d47d3d304a612bb4d91d,low,1,1
117,a77512653f87da68dffa137e0cc03b91e34588e9,4effa4274d6deec240a93d03c7ee8f725e8c5fac,low,0,0
118,801a608e74aedc0c94c93935ba2a1c9c48332d12,46e1e4d1e9f4d7de210ab3055fa21be1fad0325a,high,0,0
119,c34e243b0082a80a5b981a0076b97ebf12f2d396,cb1c5034afe938983be8da46e444cf88a82ecee3,high,0,0
120,69176b50f1727d36b1acc881c56c5a3aed34f28a,5bd43b88592f90fdec51bf2b13a1680b9382acdc,low,1,1
121,85ad5efb2c1a8db54000b011c6881923fc837fd1,c526fbb0e7c1c880cc933a9293dfdaba95a5304b,medium,1,1
137,42a87b201d841919285aeb1873c4b8667b8f8a84,aa52c5dd2e906d7f71512dd9041af0d6b6cda50b,low,0,0
139,0c2079bf65ab9f400fcfd1ce48c76111ea2cde06,39e3b9872000ff94dfe1ea4a3c27654d91eb6e40,low,0,0
140,c46f74a2fc25c3c68354ef79b05289b0ac7cba3f,f8d8760dc348a80b628bb7362f389ff7aa2bc8c7,high,1,1
141,78346973524d0ba7242a925ff4c727067ea15115,89eb85b05a793fd4e5a1f1732386586f16a73ffd,high,1,1
145,42553bc94f67115e025e8e54d07f71a541baca0d,761095b981750b2722664ef4fe1b82f77db2396f,medium,0,0
146,eb25235b1f19336c9c7a0c91a4dbbad8dd1d71d6,863f92b49a2970db05a9a346612d33e21cdd5527,high,0,0
148,f377c735f31c214d60463969269fe0712630f4bd,2fe54f7a1d6bbfda82565c7e5ca27ff9d0cb3617,medium,1,1
149,a5cdab9ce47ecc962c478746d94d8adde1f1488c,e16956e4808161215b796a69a60a706ac020e61a,low,0,0
